Primary DBID	Systematic Name	Standard Name	Name	Feature Type	Function Summary	Description	Gene Summary
S000000072	YAR019C	CDC15	Cell Division Cycle	ORF	"Protein kinase involved in mitotic exit, cytokinesis and meiotic spindle disassembly; localizes to the bud neck, cytoplasm and spindle pole body"	"Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure, spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress"	
S000000073	YAR020C	PAU7	seriPAUperin family	ORF	Protein whose biological role and cellular location are unknown	"Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"	
S000000074	YAR023C			ORF	Protein whose biological role and cellular location are unknown	Putative integral membrane protein; member of DUP240 gene family	
S000000075	YAR027W	UIP3	Ulp1 Interacting Protein	ORF	Protein whose biological role is unknown; localized to the nuclear envelope in large scale studies	Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family	
S000000076	YAR028W			ORF	Protein whose biological role is unknown; localized to the vacuole membrane in large scale studies	Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS	
S000000077	YAR029W			ORF	Protein whose biological role is unknown; localizes to the cytoplasm	Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	
S000000078	YAR031W	PRM9	Pheromone-Regulated Membrane protein	ORF	Protein whose biological role is unknown; localized to the endoplasmic reticulum and plasma membrane	"Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication"	
S000000079	YAR033W	MST28	Multicopy suppressor of Sec Twenty one	ORF		"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication"	
S000000080	YAR035W	YAT1		ORF	Putative mitochondrial carnitine O-palmitoyltransferase involved in carnitine metabolism	Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated	
S000000081	YAR042W	SWH1		ORF	"Sterol transporter involved in endocytosis, exocytosis, and maintenance of cell polarity; localizes to various sites throughout the endomembrane system such as the nuclear envelope, nucleus-vacuolar junction, endoplasmic reticulum, Golgi, and early endosomes"	"Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog, OSH2, that arose from the whole genome duplication"	
S000000083	YAR047C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000000084	YAR050W	FLO1	FLOcculation	ORF	"Mannose-binding protein involved in flocculation via cell wall protein-carbohydrate interaction and co-flocculation with other yeasts; also involved in the cellular response to heat, hydrogen peroxide, and ethanol; localizes to the cell wall"	"Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO1 has a paralog, FLO5, that arose from a segmental duplication"	
S000000085	YAR053W			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"	
S000000086	YAR060C			ORF		"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YAR060C has a paralog, YHR212C, that arose from a segmental duplication"	
S000000089	YAR064W			ORF	Protein whose biological role and cellular location are unknown	"Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication"	
S000000091	YAR068W			ORF	Protein whose biological role and cellular location are unknown	"Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication"	
S000000092	YAR069C			ORF		"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR069C has a paralog, YHR214C-D, that arose from a segmental duplication"	
S000000093	YAR070C			ORF		"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR070C has a paralog, YHR214C-B, that arose from a segmental duplication"	
S000000094	YAR071W	PHO11	PHOsphate metabolism	ORF	An acid phosphatase that dephosphorylates 1-naphthyl dihydrogen phosphate in the absence of potassium dihydrogen phosphate; involved in phosphate-containing compound metabolism in extracellular regions	"One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication"	
S000000095	YAR073W	IMD1	IMP Dehydrogenase	ORF	Non-functional IMP dehydrogenase	"Nonfunctional protein with homology to IMP dehydrogenase; blocked reading frame, located close to the telomere; not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication"	
S000000097	YBL001C	ECM15	ExtraCellular Mutant	ORF	Protein whose biological role is unknown; localized to cytoplasm and nucleus in large scale studies	"Non-essential protein of unknown function; likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis"	
S000000098	YBL002W	HTB2	Histone h Two B	ORF	DNA-binding subunit of the nuclear nucleosome; involved in chromatin assembly/disassembly	"Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation"	
S000000099	YBL003C	HTA2	Histone h Two A	ORF	DNA-binding subunit of the nuclear nucleosome; involved in chromatin assembly/disassembly and DNA repair	Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p	
S000000100	YBL004W	UTP20	U Three Protein	ORF	mRNA-binding protein involved in small ribosomal subunit processing; component of small-subunit processome and 90S preribosome; localizes to nucleolus and cytoplasm	Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA	
S000000101	YBL005W	PDR3	Pleiotropic Drug Resistance	ORF	Sequence specific DNA-binding polymerase II transcription factor that activates expression of genes involved in drug response	Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate	
S000000102	YBL006C	LDB7	Low Dye Binding	ORF	"Subunit of RSC chromatin remodeling complex, slides along DNA affecting nucleosome positioning and transcription regulation"	"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions"	
S000000103	YBL007C	SLA1	Synthetic Lethal with ABP1	ORF	Endocytic adaptor protein that interacts with ubiquitin; involved in endocytosis and actin cortical patch assembly; inhibits Arp2/3-complex mediated actin nucleation; shuttles between the nucleus and actin cortical patches	Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains	
S000000104	YBL008W	HIR1	HIstone Regulation	ORF	Transcriptional corepressor that is part of the HIR complex; negatively regulates transcription of HTA1 and HTB1; involved in DNA-replication independent nucleosome assembly; localizes to the centromeric region of chromosomes	"Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores"	
S000000105	YBL009W	ALK2		ORF	Protein kinase involved in mitosis	"Atypical protein kinase; along with its paralog, ALK1, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of formins and polarisome components in mitosis, and survival after spindle assembly checkpoint delay; negatively regulates the morphogenesis checkpoint in response to polarity insults in opposition to ALK1; phosphorylated in response to DNA damage; similar to mammalian haspins"	
S000000106	YBL010C	LAA2	Large Adaptin Accessory	ORF	Protein that colocalizes with clathrin-coated vesicles; involved in AP-1-mediated clathrin-coated vesicle cargo loading	Clathrin adaptor (adaptin) accessory protein; physically interacts with and is involved in localization of clathrin adaptor protein complex-1 (AP-1); green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles	
S000000107	YBL011W	SCT1	Suppressor of Choline-Transport mutants	ORF	Glycerol-3-phosphate- and glycerone-phosphate O-acyltransferase involved in phospholipid biosynthesis; localizes to endoplasmic reticulum	Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed	
